gender,race/ethnicity,,,test preparation course,math score,reading score,writing score,,target
male,group B,,,none,81,71,62,,
female,group D,,,none,73,85,83,,
female,group E,,,completed,92,87,92,,
male,group E,,,none,71,63,53,,
female,group C,,,none,61,57,55,,
male,group C,,,none,80,76,74,,
male,group B,,,none,38,38,30,,
male,group B,,,completed,72,62,62,,
female,group E,,,completed,96,98,100,,
female,group B,,,completed,64,66,72,,
female,group B,,,none,44,65,59,,
female,group D,,,completed,81,99,96,,
male,group B,,,completed,85,75,72,,
male,group E,,,none,82,76,71,,
male,group B,,,none,72,67,64,,
female,group C,,,none,43,57,59,,
female,group B,,,none,58,69,63,,
male,group E,,,completed,72,73,75,,
male,group D,,,completed,80,67,72,,
male,group D,,,none,81,62,61,,
male,group E,,,none,66,60,59,,
male,group B,,,none,74,65,61,,
male,group D,,,completed,75,70,76,,
male,group C,,,none,68,58,54,,
male,group D,,,none,67,63,63,,
male,group B,,,none,58,47,45,,
male,group D,,,none,79,56,68,,
male,group C,,,none,63,63,63,,
female,group B,,,none,59,72,72,,
male,group C,,,none,47,53,42,,
male,group D,,,completed,67,78,70,,
male,group A,,,completed,92,86,88,,
male,group D,,,none,44,45,41,,
male,group C,,,none,57,54,48,,
female,group D,,,completed,83,100,100,,
female,group A,,,completed,68,76,76,,
male,group B,,,none,59,52,45,,
female,group B,,,none,36,51,49,,
male,group A,,,completed,56,51,44,,
female,group E,,,completed,80,94,97,,
male,group C,,,completed,62,72,67,,
male,group D,,,none,90,72,79,,
male,group A,,,completed,55,62,58,,
female,group C,,,completed,44,45,52,,
male,group C,,,completed,72,63,66,,
female,group E,,,none,92,94,94,,
male,group B,,,completed,73,68,71,,
female,group D,,,completed,75,74,75,,
male,group E,,,completed,82,78,78,,
male,group C,,,none,84,84,74,,
male,group C,,,none,81,80,73,,
male,group A,,,none,82,68,63,,
female,group C,,,completed,79,92,87,,
female,group C,,,none,31,49,42,,
male,group E,,,none,73,62,59,,
female,group E,,,none,89,93,98,,
male,group E,,,completed,100,100,100,,
female,group D,,,completed,47,58,56,,
male,group E,,,none,94,75,75,,
male,group B,,,completed,79,77,75,,
male,group C,,,completed,77,80,74,,
male,group D,,,none,63,60,53,,
male,group A,,,none,56,45,38,,
female,group B,,,completed,58,67,70,,
male,group C,,,completed,77,80,85,,
female,group E,,,completed,82,85,91,,
female,group B,,,none,51,69,64,,
male,group E,,,none,92,80,78,,
female,group C,,,none,87,90,85,,
male,group E,,,completed,88,78,86,,
female,group C,,,none,77,79,78,,
female,group E,,,none,62,65,65,,
male,group D,,,none,61,56,56,,
female,group C,,,none,65,66,66,,
male,group E,,,completed,84,76,81,,
female,group D,,,none,30,59,51,,
male,group A,,,completed,63,61,64,,
female,group E,,,none,79,78,83,,
female,group C,,,none,51,72,63,,
female,group D,,,none,66,70,67,,
female,group D,,,none,63,69,66,,
female,group D,,,none,71,78,81,,
female,group C,,,none,69,76,71,,
female,group C,,,none,70,81,76,,
male,group D,,,none,67,59,59,,
female,group C,,,none,53,48,49,,
female,group B,,,none,50,62,62,,
female,group C,,,none,59,63,61,,
female,group C,,,completed,54,72,68,,
male,group E,,,none,81,72,70,,
male,group C,,,none,69,58,52,,
male,group E,,,none,87,84,76,,
female,group B,,,none,88,84,88,,
female,group E,,,none,52,53,55,,
female,group C,,,none,60,61,57,,
female,group D,,,completed,77,83,84,,
male,group C,,,completed,47,49,49,,
male,group C,,,none,76,65,58,,
female,group B,,,completed,92,100,100,,
female,group E,,,none,87,87,84,,
female,group D,,,none,74,82,81,,
male,group A,,,completed,67,60,69,,
male,group B,,,none,56,47,48,,
female,group D,,,none,84,92,90,,
male,group B,,,none,73,54,57,,
male,group D,,,none,75,65,65,,
male,group D,,,completed,70,72,67,,
male,group C,,,none,79,72,72,,
male,group C,,,completed,86,77,80,,
female,group B,,,completed,77,83,91,,
male,group D,,,completed,58,67,67,,
male,group C,,,completed,70,66,68,,
female,group D,,,none,69,67,78,,
male,group D,,,completed,94,97,95,,
female,group E,,,none,76,82,81,,
female,group C,,,none,71,72,69,,
male,group C,,,none,76,72,73,,
male,group D,,,none,85,78,81,,
male,group C,,,none,94,84,80,,
male,group E,,,none,91,82,74,,
male,group D,,,completed,100,100,98,,
male,group B,,,none,65,66,61,,
female,group D,,,none,68,79,78,,
male,group C,,,none,59,60,56,,
female,group B,,,none,73,87,89,,
male,group B,,,completed,76,83,78,,
female,group C,,,none,86,92,83,,
female,group C,,,completed,75,74,80,,
male,group D,,,none,68,53,53,,
female,group D,,,none,68,73,71,,
male,group D,,,none,59,62,52,,
male,group B,,,none,84,80,77,,
male,group D,,,none,67,58,58,,
male,group C,,,none,59,64,60,,
male,group C,,,none,58,66,67,,
male,group D,,,none,72,62,60,,
female,group A,,,none,61,65,59,,
female,group B,,,none,55,70,60,,
female,group D,,,none,41,51,53,,
female,group D,,,none,36,45,44,,
male,group E,,,completed,84,75,75,,
male,group E,,,none,57,45,42,,
female,group C,,,none,81,96,93,,
male,group A,,,none,59,60,50,,
male,group D,,,none,66,56,56,,
male,group C,,,completed,65,62,63,,
female,group C,,,none,65,85,80,,
female,group A,,,completed,53,77,75,,
male,group B,,,none,79,69,70,,
female,group C,,,completed,89,86,92,,
female,group E,,,none,85,91,88,,
female,group C,,,none,79,93,81,,
female,group B,,,completed,83,96,96,,
female,group E,,,none,62,71,61,,
female,group E,,,none,64,68,60,,
female,group E,,,none,66,65,76,,
female,group B,,,none,36,52,51,,
female,group C,,,none,74,77,72,,
female,group B,,,completed,85,96,95,,
female,group C,,,completed,44,69,68,,
female,group E,,,completed,68,78,77,,
female,group C,,,completed,59,66,71,,
male,group B,,,none,64,57,52,,
female,group C,,,none,62,74,74,,
male,group C,,,none,45,53,45,,
male,group D,,,none,85,81,83,,
male,group C,,,none,45,48,46,,
male,group B,,,none,81,66,58,,
male,group C,,,none,65,70,57,,
female,group C,,,none,48,60,55,,
female,group C,,,none,59,66,69,,
female,group C,,,completed,80,88,90,,
female,group A,,,completed,66,80,75,,
female,group B,,,completed,80,93,99,,
male,group E,,,none,47,54,48,,
female,group B,,,none,74,90,83,,
male,group B,,,none,55,59,49,,
male,group D,,,none,100,93,89,,
male,group C,,,none,83,84,78,,
male,group C,,,none,76,74,67,,
male,group E,,,completed,87,83,80,,
male,group C,,,none,28,27,23,,
male,group D,,,completed,76,78,79,,
female,group E,,,none,86,87,90,,
female,group A,,,none,65,64,73,,
male,group D,,,none,88,72,78,,
female,group D,,,completed,87,95,100,,
male,group D,,,none,51,53,45,,
male,group D,,,completed,67,62,67,,
female,group C,,,none,70,77,76,,
female,group A,,,none,72,77,77,,
male,group A,,,completed,75,67,67,,
male,group D,,,none,83,74,80,,
female,group B,,,none,82,97,90,,
male,group C,,,none,77,77,71,,
male,group C,,,none,80,66,66,,
female,group A,,,completed,67,86,86,,
male,group E,,,none,80,72,62,,
male,group D,,,none,58,47,45,,
